stableOccurrenceId,postNum,storedPhrase,sentenceText,directiveSegments,religiousSegment,themes,proposedDestination,authorshipState,sourceType,alsoQuotedInPayload,action,proposedRuling,status,blockedBy,reason
"4553#8","4553","Define 'Suppression'.","Define 'Suppression'.","Define 'Suppression'.","","","","Q_AUTHORED_CURRENT_POST","Q_BODY","false","KEEP","KEEP_Q_DIRECTIVE","READY","","canonical post body, no embedded-source evidence"
"4553#9","4553","Define 'Realism'.","Define 'Realism'.","Define 'Realism'.","","","","Q_AUTHORED_CURRENT_POST","Q_BODY","false","KEEP","KEEP_Q_DIRECTIVE","READY","","canonical post body, no embedded-source evidence"
"4553#10","4553","Select [public discovery] topics are deemed and ranked in priority order [ranking determines use of assets [big-to-small]].","Select [public discovery] topics are deemed and ranked in priority order [ranking determines use of assets [big-to-small]].","Select [public discovery] topics are deemed and ranked in priority order [ranking determines use of assets [big-to-small]].","","","","Q_AUTHORED_CURRENT_POST","Q_BODY","false","KEEP","KEEP_Q_DIRECTIVE","BLOCKED_PENDING_EDITORIAL","R5 declarative-lead worksheet","long sentence inside a drop whose dominant register is Q — prose shape alone is not a quotation"
"4555#0","4555","Start here:","Start here:","Start here:","","","","Q_AUTHORED_CURRENT_POST","Q_BODY","false","KEEP","KEEP_Q_DIRECTIVE","READY","","canonical post body, no embedded-source evidence"
"4556#0","4556","Select [public discovery] topics are deemed and ranked in priority order [ranking determines use of assets [big-to-small]].","Select [public discovery] topics are deemed and ranked in priority order [ranking determines use of assets [big-to-small]].","Select [public discovery] topics are deemed and ranked in priority order [ranking determines use of assets [big-to-small]].","","","","Q_AUTHORED_CURRENT_POST","Q_BODY","false","KEEP","KEEP_Q_DIRECTIVE","BLOCKED_PENDING_EDITORIAL","R5 declarative-lead worksheet","long sentence inside a drop whose dominant register is Q — prose shape alone is not a quotation"
"4564#0","4564","Add to your playlist.","Add to your playlist.","Add to your playlist.","","","","Q_AUTHORED_CURRENT_POST","Q_BODY","false","KEEP","KEEP_Q_DIRECTIVE","READY","","canonical post body, no embedded-source evidence"
"4565#0","4565","Feed an addiction [controllable]","Feed an addiction [controllable]","Feed an addiction [controllable]","","","","Q_AUTHORED_CURRENT_POST","Q_BODY","false","KEEP","KEEP_Q_DIRECTIVE","READY","","canonical post body, no embedded-source evidence"
"4566#0","4566","Do not think 'today' but rather 'after' today.","Do not think 'today' but rather 'after' today.","Do not think 'today' but rather 'after' today.","","","","Q_AUTHORED_CURRENT_POST","Q_BODY","false","KEEP","KEEP_Q_DIRECTIVE","READY","","canonical post body, no embedded-source evidence"
"4566#1","4566","Have faith in Humanity.","Have faith in Humanity.","have faith","","","","Q_AUTHORED_CURRENT_POST","Q_BODY","false","KEEP","KEEP_Q_DIRECTIVE","READY","","OWNER RULING R3: ""have faith"" is an imperative — an instruction to maintain confidence, belief or morale."
"457#0","457","Celebrate this SPECIAL day in a BIG way.","Celebrate this SPECIAL day in a BIG way.","Celebrate this SPECIAL day in a BIG way.","","","","Q_AUTHORED_CURRENT_POST","Q_BODY","false","KEEP","KEEP_Q_DIRECTIVE","READY","","canonical post body, no embedded-source evidence"
"457#1","457","God bless you all.","God bless you all.","God bless you all.","","","RELIGION_THEME_ONLY","Q_AUTHORED_CURRENT_POST","Q_BODY","false","REMOVE_FROM_DIRECTIVES","REMOVE_BLESSING_OR_VALEDICTION","READY","","blessing or valediction, not a command"
